seed,method,precision,recall,f1,auroc
42,Answer-similarity index (Wollack/Q-SID style),0.8984,0.3203,0.4722,0.6667
42,Telemetry-only (feature stand-in),0.4113,0.2855,0.337,0.6491
42,Vision-only (feature stand-in),0.8093,0.2768,0.4125,0.6663
42,Proposed fused framework,0.9042,0.7116,0.7964,0.9474
43,Answer-similarity index (Wollack/Q-SID style),0.8984,0.3203,0.4722,0.6697
43,Telemetry-only (feature stand-in),0.376,0.2725,0.316,0.6341
43,Vision-only (feature stand-in),0.7464,0.2986,0.4265,0.6674
43,Proposed fused framework,0.838,0.742,0.7871,0.9461
44,Answer-similarity index (Wollack/Q-SID style),0.8055,0.342,0.4802,0.6516
44,Telemetry-only (feature stand-in),0.4359,0.2957,0.3523,0.6506
44,Vision-only (feature stand-in),0.7374,0.2971,0.4236,0.6631
44,Proposed fused framework,0.863,0.758,0.8071,0.9522
45,Answer-similarity index (Wollack/Q-SID style),0.8717,0.3348,0.4838,0.6598
45,Telemetry-only (feature stand-in),0.388,0.2536,0.3067,0.6369
45,Vision-only (feature stand-in),0.7975,0.2739,0.4078,0.6478
45,Proposed fused framework,0.8581,0.7362,0.7925,0.9412
46,Answer-similarity index (Wollack/Q-SID style),0.8561,0.3362,0.4828,0.6737
46,Telemetry-only (feature stand-in),0.3148,0.329,0.3218,0.6272
46,Vision-only (feature stand-in),0.7717,0.2841,0.4153,0.6704
46,Proposed fused framework,0.8583,0.7551,0.8034,0.9556
